trip_id,region,requested_at,distance_km,demand_index,surge_multiplier,predicted_eta_minutes,actual_eta_minutes,base_fare_usd,final_fare_usd,driver_available,converted
74,South,2026-06-20T18:12:00,1.48,1.82,1.49,4.0,8.1,6.5,9.69,1,1
75,South,2026-07-28T08:26:00,7.42,2.47,1.88,18.9,22.1,14.52,27.3,1,1
76,North,2026-06-12T09:57:00,6.73,2.68,2.01,17.1,19.0,13.59,27.32,0,0
77,South,2026-06-12T17:33:00,6.48,2.6,1.96,16.4,16.8,13.25,25.97,0,0
78,North,2026-06-06T08:22:00,8.55,2.16,1.69,24.7,24.9,16.04,27.1,1,1
79,East,2026-07-23T19:05:00,9.95,2.07,1.64,26.9,29.6,17.94,29.41,1,0
80,West,2026-06-16T19:49:00,9.35,2.13,1.68,22.1,25.6,17.13,28.77,0,0
81,South,2026-07-18T03:38:00,5.15,1.56,1.33,14.4,15.0,11.45,15.22,1,1
82,North,2026-07-17T18:58:00,11.57,2.85,2.11,31.3,34.3,20.12,42.44,0,0
83,West,2026-07-20T09:16:00,11.53,1.64,1.38,26.7,32.1,20.07,27.69,1,1
84,South,2026-07-09T08:55:00,6.9,1.98,1.59,15.6,18.9,13.82,21.98,0,0
85,South,2026-06-16T10:41:00,10.47,0.93,1.0,28.1,32.4,18.63,18.63,1,1
86,North,2026-06-27T14:45:00,0.8,1.57,1.34,2.1,3.7,5.58,7.48,1,1
87,Downtown,2026-07-25T18:48:00,10.94,1.93,1.56,32.8,31.8,19.27,30.06,0,0
88,South,2026-06-12T08:09:00,10.25,1.91,1.54,28.3,28.1,18.34,28.24,1,1
89,Downtown,2026-06-15T17:06:00,0.9,1.58,1.35,2,4.3,5.71,7.71,1,0
90,East,2026-06-15T06:12:00,0.94,1.2,1.12,2.5,2,5.76,6.46,1,1
91,Downtown,2026-06-17T18:42:00,7.93,2.47,1.88,20.2,22.7,15.2,28.58,0,0
92,South,2026-06-17T02:46:00,9.51,1.25,1.15,24.8,25.3,17.33,19.93,1,1
93,East,2026-06-05T07:50:00,2.82,2.13,1.68,7.4,8.7,8.31,13.96,1,1
94,West,2026-07-15T08:18:00,4.91,2.6,1.96,12.3,15.2,11.13,21.81,1,1
95,North,2026-07-26T18:51:00,5.11,2.71,2.03,14.1,19.8,11.4,23.14,1,1
96,West,2026-07-07T19:29:00,6.75,2.79,2.07,18.0,19.8,13.62,28.19,1,1
97,Downtown,2026-07-10T20:47:00,4.7,0.88,1.0,12.2,12.9,10.85,10.85,1,1
98,South,2026-06-20T06:02:00,5.81,1.58,1.35,14.5,15.7,12.34,16.66,1,1
99,Downtown,2026-07-15T19:10:00,2.49,2.52,1.91,5.3,8.2,7.86,15.02,1,0
100,Downtown,2026-06-11T09:07:00,9.92,1.67,1.4,31.2,31.1,17.89,25.04,1,1
101,North,2026-07-13T19:07:00,3.78,2.93,2.16,10.6,12.8,9.61,20.75,0,0
102,West,2026-07-13T09:32:00,4.29,2.19,1.71,12.9,14.8,10.29,17.59,0,0
103,Downtown,2026-07-20T19:53:00,8.05,1.59,1.36,23.4,23.0,15.37,20.9,1,1
104,North,2026-06-03T17:05:00,7.09,3.06,2.24,17.1,21.3,14.08,31.53,1,1
105,South,2026-06-02T19:39:00,5.84,1.75,1.45,12.0,8.5,12.38,17.96,1,1
106,South,2026-06-05T19:39:00,6.91,2.76,2.06,20.4,25.6,13.83,28.48,1,0
107,Downtown,2026-07-29T13:37:00,6.19,0.92,1.0,18.3,18.7,12.86,12.86,1,1
108,West,2026-06-11T18:16:00,8.23,1.61,1.36,17.9,18.0,15.61,21.23,1,1
109,Downtown,2026-07-15T19:06:00,6.45,2.94,2.17,19.2,21.0,13.21,28.66,1,0
110,East,2026-07-19T04:14:00,8.74,0.78,1.0,22.7,21.7,16.31,16.31,1,1
111,Downtown,2026-07-30T17:20:00,5.94,1.8,1.48,12.5,11.8,12.51,18.52,1,0
112,West,2026-06-15T17:02:00,4.14,1.44,1.26,11.9,12.2,10.09,12.71,1,1
113,Downtown,2026-06-20T17:13:00,2.49,1.69,1.41,7.5,8.9,7.86,11.09,1,0
114,South,2026-07-26T17:17:00,1.74,2.12,1.67,4.5,6.5,6.85,11.44,1,1
115,Downtown,2026-06-29T17:33:00,6.25,3.03,2.22,14.8,13.9,12.94,28.72,0,0
116,North,2026-07-29T18:00:00,5.86,2.5,1.9,14.6,15.2,12.41,23.57,1,1
117,West,2026-07-23T17:32:00,5.51,1.49,1.29,15.6,17.1,11.94,15.41,0,0
118,West,2026-07-18T19:05:00,1.54,2.74,2.04,3.7,5.3,6.57,13.41,0,0
119,North,2026-06-08T09:47:00,13.33,1.87,1.52,30.3,28.8,22.49,34.18,1,1
120,East,2026-06-19T17:57:00,2.86,1.79,1.47,7.6,8.1,8.36,12.3,0,0
121,South,2026-06-11T18:20:00,7.63,2.48,1.89,22.0,26.3,14.8,27.98,1,1
122,Downtown,2026-07-01T13:33:00,0.8,1.3,1.18,2.2,2,5.58,6.58,1,1
123,South,2026-06-26T17:04:00,4.7,1.46,1.28,11.9,11.4,10.84,13.88,1,1
124,North,2026-06-03T07:41:00,5.18,2.54,1.92,12.6,10.4,11.49,22.07,1,1
125,Downtown,2026-07-28T17:56:00,11.28,3.1,2.26,23.8,25.5,19.73,44.6,0,0
126,North,2026-07-23T18:40:00,8.0,1.92,1.55,21.7,23.7,15.3,23.71,0,0
127,East,2026-06-22T10:01:00,2.13,0.65,1.0,6.7,9.0,7.37,7.37,1,1
128,East,2026-07-10T18:50:00,3.57,2.14,1.69,7.6,10.1,9.32,15.76,1,1
129,South,2026-07-16T19:05:00,4.15,2.18,1.71,10.3,11.0,10.1,17.28,0,0
130,East,2026-07-02T05:44:00,11.68,1.4,1.24,32.0,34.5,20.27,25.13,1,1
131,South,2026-06-19T19:44:00,6.72,3.09,2.25,18.7,16.0,13.58,30.55,1,0
132,East,2026-06-23T05:59:00,7.1,0.99,1.0,19.2,18.7,14.08,14.08,0,0
133,South,2026-06-20T08:57:00,4.62,3.17,2.3,11.8,15.9,10.73,24.69,1,1
134,Downtown,2026-07-12T01:37:00,5.92,0.93,1.0,17.3,20.4,12.5,12.5,1,1
135,West,2026-07-15T18:37:00,6.84,2.56,1.93,19.6,20.4,13.74,26.51,1,1
136,Downtown,2026-06-10T18:15:00,6.38,2.7,2.02,15.2,15.5,13.11,26.48,1,1
137,North,2026-06-11T21:06:00,7.12,0.75,1.0,19.7,19.0,14.11,14.11,1,1
138,East,2026-06-14T19:29:00,8.95,1.46,1.28,19.4,22.2,16.58,21.22,1,1
139,West,2026-06-02T07:38:00,6.48,1.84,1.5,16.6,17.3,13.24,19.86,1,1
140,Downtown,2026-07-25T08:11:00,2.44,2.55,1.93,5.7,8.4,7.8,15.04,0,0
141,West,2026-06-16T18:45:00,6.07,2.93,2.16,14.7,21.0,12.69,27.41,1,1
142,South,2026-07-28T17:49:00,7.28,1.42,1.25,21.3,17.8,14.33,17.91,1,1
143,South,2026-07-04T09:54:00,2.94,2.69,2.01,7.1,6.8,8.46,17.01,1,1
144,West,2026-06-14T23:11:00,1.88,0.99,1.0,4.9,3.9,7.04,7.04,1,1
145,East,2026-06-25T09:00:00,12.83,2.53,1.92,37.3,38.8,21.83,41.9,1,1
146,Downtown,2026-06-15T23:25:00,5.76,1.06,1.04,17.0,21.0,12.27,12.76,1,1
147,Downtown,2026-07-17T08:09:00,3.74,2.87,2.12,11.0,12.6,9.55,20.25,1,0
148,West,2026-06-23T18:14:00,7.03,1.88,1.53,17.1,19.2,13.99,21.41,0,0
149,North,2026-07-22T18:17:00,3.57,1.98,1.59,10.5,11.1,9.32,14.82,1,1
150,East,2026-07-25T09:05:00,5.55,2.89,2.13,16.9,16.3,12.0,25.55,1,1
151,North,2026-07-13T00:04:00,5.15,0.7,1.0,12.4,12.5,11.45,11.45,1,1
152,West,2026-07-21T16:39:00,12.01,1.49,1.29,26.3,24.8,20.71,26.72,1,1
153,East,2026-06-13T14:13:00,1.33,1.04,1.02,3.3,2,6.3,6.42,1,1
154,West,2026-07-06T03:29:00,5.65,1.51,1.3,14.3,13.2,12.13,15.76,1,1
155,South,2026-07-24T09:44:00,2.13,2.91,2.15,5.2,2.8,7.37,15.85,0,0
156,East,2026-07-11T17:01:00,10.47,2.5,1.9,24.2,21.5,18.64,35.42,1,1
157,West,2026-07-19T19:02:00,7.26,1.63,1.38,21.1,20.5,14.3,19.73,1,1
158,South,2026-06-19T11:27:00,4.04,0.85,1.0,11.5,11.9,9.96,9.96,1,1
159,East,2026-07-26T15:13:00,3.3,0.93,1.0,7.1,6.2,8.95,8.95,1,1
160,North,2026-06-26T18:56:00,10.55,2.13,1.68,24.6,24.4,18.74,31.49,0,0
161,West,2026-07-09T18:03:00,8.2,2.5,1.9,16.1,16.1,15.58,29.59,1,1
162,South,2026-06-03T18:29:00,2.97,2.53,1.92,8.3,13.7,8.5,16.33,1,0
163,North,2026-06-24T19:08:00,7.44,1.86,1.52,16.5,15.8,14.54,22.1,1,1
164,North,2026-07-02T17:02:00,7.82,2.88,2.13,20.7,21.5,15.06,32.08,1,0
165,West,2026-07-09T17:42:00,10.11,2.14,1.69,25.9,25.8,18.15,30.67,0,0
166,North,2026-06-28T00:43:00,4.76,1.27,1.16,15.2,15.1,10.92,12.67,1,1
167,East,2026-07-17T17:28:00,6.29,1.49,1.29,15.1,15.0,12.99,16.75,1,1
168,Downtown,2026-07-16T14:42:00,0.8,1.53,1.32,2.1,8.1,5.58,7.37,0,0
169,North,2026-07-27T17:52:00,4.16,1.96,1.58,10.0,15.0,10.12,15.98,1,1
170,Downtown,2026-07-17T11:43:00,4.9,0.77,1.0,13.5,12.8,11.12,11.12,1,1
171,West,2026-06-25T18:28:00,11.78,2.42,1.85,28.5,34.8,20.4,37.73,1,1
172,East,2026-07-26T17:00:00,9.71,2.9,2.14,23.2,24.3,17.61,37.69,1,1
173,West,2026-07-09T18:14:00,7.42,1.4,1.24,17.6,15.6,14.52,18.01,1,1
174,North,2026-06-19T19:51:00,8.49,3.0,2.2,23.5,27.4,15.96,35.12,1,1
175,West,2026-06-23T16:34:00,1.1,0.8,1.0,2.7,3.7,5.99,5.99,1,1
176,West,2026-07-16T07:16:00,5.53,2.46,1.87,16.0,18.0,11.96,22.37,1,1
177,North,2026-06-15T09:33:00,11.81,2.34,1.8,26.3,26.8,20.44,36.8,0,0
178,South,2026-07-22T18:23:00,5.4,2.44,1.86,12.3,17.6,11.79,21.92,0,0
179,West,2026-06-24T19:23:00,2.72,1.68,1.41,6.0,5.6,8.17,11.52,0,0
180,North,2026-06-14T23:55:00,9.71,1.17,1.1,23.5,23.1,17.6,19.36,1,1
181,West,2026-07-20T17:38:00,8.89,1.47,1.28,22.6,23.3,16.5,21.11,0,0
182,Downtown,2026-06-24T19:29:00,7.71,2.28,1.77,22.8,21.6,14.91,26.4,1,1
183,North,2026-06-17T09:14:00,1.42,2.61,1.96,2.9,3.5,6.42,12.57,1,1
184,South,2026-06-12T02:16:00,7.1,1.54,1.32,21.0,22.2,14.09,18.6,1,1
185,Downtown,2026-07-16T18:48:00,7.58,1.66,1.4,19.6,23.5,14.73,20.63,1,1
186,North,2026-07-01T09:16:00,4.71,2.1,1.66,11.3,14.0,10.86,18.03,1,1
187,North,2026-06-30T18:12:00,7.06,2.9,2.14,17.2,17.0,14.04,30.04,1,1
188,North,2026-07-30T20:53:00,4.4,0.62,1.0,14.6,16.7,10.44,10.44,1,1
189,East,2026-06-10T09:47:00,11.24,2.4,1.84,31.1,33.2,19.68,36.21,1,1
190,East,2026-07-07T19:21:00,4.67,2.85,2.11,12.1,15.2,10.81,22.8,1,0
191,Downtown,2026-06-04T17:50:00,5.42,2.26,1.76,13.1,14.2,11.81,20.79,1,1
192,South,2026-07-30T08:24:00,8.64,1.92,1.55,23.2,24.2,16.17,25.06,1,1
193,North,2026-06-29T19:21:00,3.05,2.82,2.09,7.9,11.0,8.61,18.0,0,0
194,West,2026-06-14T08:11:00,9.45,1.65,1.39,26.6,30.7,17.25,23.98,0,0
195,North,2026-07-24T04:38:00,5.85,0.78,1.0,12.3,10.8,12.4,12.4,1,1
196,North,2026-06-05T18:33:00,2.56,2.13,1.68,6.6,7.9,7.95,13.36,1,1
197,West,2026-06-06T00:58:00,6.64,1.27,1.16,16.2,11.1,13.46,15.62,0,0
198,East,2026-07-07T17:00:00,2.9,2.04,1.62,9.6,8.1,8.41,13.62,1,1
199,East,2026-07-20T18:24:00,0.8,1.92,1.55,2,2.4,5.58,8.65,0,0
200,Downtown,2026-06-09T01:05:00,3.04,0.82,1.0,8.1,8.8,8.61,8.61,1,0
201,North,2026-07-30T18:12:00,6.06,2.55,1.93,19.2,21.2,12.68,24.48,1,0
202,South,2026-06-03T08:29:00,9.96,2.29,1.77,23.5,24.4,17.94,31.76,1,1
203,Downtown,2026-06-15T19:09:00,4.76,2.11,1.67,11.0,16.0,10.93,18.24,1,1
204,Downtown,2026-07-04T01:03:00,7.03,1.38,1.23,17.4,19.0,13.99,17.2,1,1
205,East,2026-07-23T09:35:00,10.15,3.12,2.27,27.6,31.6,18.2,41.31,1,1
206,Downtown,2026-06-12T03:27:00,9.85,0.8,1.0,24.6,23.1,17.8,17.8,1,1
207,West,2026-07-11T02:56:00,7.4,1.47,1.28,19.1,22.2,14.5,18.56,1,1
208,North,2026-07-10T05:07:00,4.29,1.12,1.07,8.3,10.4,10.3,11.02,1,1
209,North,2026-06-04T17:58:00,3.98,2.24,1.74,10.3,12.5,9.87,17.18,0,0
210,East,2026-07-29T09:18:00,7.82,1.89,1.54,20.0,17.6,15.06,23.19,1,1
211,South,2026-07-12T09:35:00,5.62,2.39,1.83,12.8,13.1,12.09,22.13,0,0
212,South,2026-06-13T15:24:00,7.03,1.57,1.34,14.5,17.7,14.0,18.76,1,1
213,East,2026-07-02T08:56:00,9.17,2.79,2.07,23.7,28.7,16.88,34.94,1,0
214,West,2026-07-24T11:47:00,9.14,1.36,1.22,15.6,15.4,16.84,20.54,1,1
215,East,2026-06-09T18:39:00,4.52,2.91,2.15,11.1,15.1,10.61,22.8,1,1
216,South,2026-06-27T19:00:00,0.82,2.14,1.68,2.0,2.9,5.61,9.43,1,1
217,East,2026-07-26T17:07:00,3.95,2.22,1.73,11.2,12.6,9.83,17.0,1,1
218,East,2026-06-01T18:54:00,9.57,3.18,2.31,23.1,27.1,17.42,40.24,1,1
219,West,2026-07-08T08:52:00,8.98,2.92,2.15,22.2,26.9,16.63,35.75,1,1
220,North,2026-06-02T02:36:00,5.95,1.5,1.3,14.8,17.6,12.53,16.28,1,1
221,Downtown,2026-07-17T18:24:00,5.6,2.62,1.97,14.7,17.4,12.06,23.76,0,0
222,West,2026-06-24T15:41:00,6.58,1.16,1.1,13.5,12.0,13.38,14.72,1,1
223,Downtown,2026-07-28T23:21:00,4.6,0.69,1.0,9.8,8.9,10.71,10.71,1,1
224,East,2026-07-15T09:59:00,7.44,3.18,2.31,21.1,21.4,14.54,33.6,1,1
225,Downtown,2026-07-28T07:11:00,10.34,1.59,1.36,28.4,27.0,18.46,25.1,1,0
226,North,2026-06-20T18:35:00,2.73,1.41,1.24,6.6,10.8,8.19,10.16,1,1
227,West,2026-07-20T17:17:00,11.19,2.33,1.8,23.9,25.7,19.61,35.3,0,0
228,Downtown,2026-07-19T15:01:00,10.62,0.7,1.0,29.5,31.1,18.83,18.83,1,1
229,North,2026-07-12T00:49:00,4.93,0.84,1.0,12.4,15.0,11.16,11.16,1,1
230,North,2026-06-23T07:39:00,7.42,2.09,1.66,23.7,26.6,14.52,24.11,1,1
231,Downtown,2026-06-16T08:02:00,8.79,1.71,1.43,25.8,27.6,16.37,23.41,1,1
232,West,2026-06-05T08:24:00,3.88,2.61,1.97,9.1,9.8,9.74,19.19,1,0
233,South,2026-06-06T07:22:00,6.21,2.99,2.19,16.3,17.3,12.89,28.22,1,1
234,North,2026-06-08T10:58:00,8.69,0.95,1.0,22.7,24.0,16.24,16.24,1,0
235,North,2026-06-22T19:15:00,6.11,1.89,1.53,15.1,18.2,12.75,19.51,1,1
236,South,2026-06-24T09:46:00,8.99,2.13,1.68,20.9,20.1,16.64,27.95,1,1
237,West,2026-07-14T07:45:00,10.81,2.19,1.72,28.0,28.4,19.09,32.84,1,0
238,North,2026-07-14T15:34:00,5.8,1.45,1.27,14.8,11.7,12.33,15.65,1,1
239,North,2026-06-25T18:44:00,9.26,1.98,1.59,28.9,32.4,17.01,27.04,1,1
240,East,2026-06-13T03:19:00,9.1,0.69,1.0,22.5,25.7,16.79,16.79,1,1
241,West,2026-07-20T17:40:00,7.6,1.9,1.54,18.8,18.0,14.76,22.72,1,1
242,West,2026-06-16T23:25:00,2.23,0.95,1.0,5.5,4.6,7.51,7.51,1,1
243,North,2026-06-26T02:10:00,1.62,0.76,1.0,4.6,2,6.69,6.69,1,1
244,South,2026-07-07T14:33:00,5.04,0.85,1.0,11.0,12.1,11.31,11.31,0,0
245,East,2026-07-28T02:54:00,2.25,1.57,1.34,5.3,7.9,7.54,10.1,1,1
246,North,2026-06-27T18:25:00,7.15,3.2,2.32,17.5,19.4,14.15,32.83,1,1
247,West,2026-07-30T09:32:00,6.07,2.53,1.92,12.4,17.1,12.69,24.37,1,1
248,South,2026-07-02T18:02:00,8.16,3.11,2.27,22.6,21.9,15.51,35.21,0,0
249,South,2026-07-05T08:03:00,7.96,1.57,1.34,22.6,25.4,15.24,20.42,1,1
250,South,2026-06-01T15:28:00,10.2,0.73,1.0,23.5,20.9,18.27,18.27,1,1
251,South,2026-06-22T17:07:00,1.34,1.7,1.42,3.3,2.5,6.3,8.95,1,1
252,North,2026-07-15T08:23:00,4.43,2.28,1.77,14.2,16.6,10.48,18.56,0,0
253,East,2026-06-29T21:10:00,4.88,0.96,1.0,14.1,14.3,11.08,11.08,1,1
254,North,2026-07-18T18:47:00,6.71,2.41,1.85,19.2,22.3,13.55,25.07,0,0
255,Downtown,2026-06-21T00:58:00,8.71,1.21,1.13,23.8,23.2,16.26,18.37,0,0
256,North,2026-06-02T18:53:00,2.08,1.66,1.4,4.3,8.9,7.3,10.23,1,1
257,North,2026-07-21T18:19:00,6.36,1.73,1.44,14.8,15.3,13.09,18.85,1,1
258,East,2026-06-16T03:06:00,9.28,1.17,1.1,20.5,18.1,17.02,18.72,1,1
259,West,2026-06-28T14:10:00,10.85,1.23,1.14,28.1,28.4,19.14,21.82,1,1
260,North,2026-07-25T11:12:00,8.23,0.82,1.0,21.0,21.1,15.61,15.61,1,1
261,South,2026-06-19T03:03:00,3.17,0.94,1.0,8.1,6.1,8.78,8.78,1,1
262,East,2026-06-01T11:36:00,1.33,1.28,1.17,3.0,2.4,6.29,7.36,1,1
263,Downtown,2026-07-29T17:09:00,14.57,2.52,1.91,36.1,41.5,24.17,46.17,1,1
264,Downtown,2026-06-27T21:30:00,8.27,1.26,1.15,24.7,28.1,15.66,18.01,1,1
265,South,2026-07-14T18:44:00,10.55,2.07,1.64,29.8,29.1,18.74,30.73,1,1
266,North,2026-06-15T07:56:00,8.47,1.77,1.46,22.0,21.9,15.94,23.27,1,1
267,East,2026-07-16T14:35:00,2.64,1.3,1.18,7.1,9.8,8.07,9.52,1,1
268,West,2026-06-09T19:35:00,4.27,2.31,1.79,12.7,10.5,10.26,18.36,1,1
269,West,2026-07-24T18:34:00,10.36,2.41,1.85,33.9,38.5,18.48,34.19,0,0
270,South,2026-06-04T09:00:00,10.69,2.66,2.0,31.2,31.7,18.94,37.87,0,0
271,North,2026-07-10T23:12:00,0.8,1.47,1.28,2,2.3,5.58,7.14,1,1
272,East,2026-06-08T08:32:00,3.58,2.73,2.04,10.9,10.9,9.33,19.03,1,0
273,Downtown,2026-06-21T19:07:00,13.37,1.84,1.5,36.6,37.3,22.54,33.81,1,1
274,North,2026-07-02T05:51:00,5.88,0.86,1.0,17.7,21.2,12.43,12.43,1,1
275,Downtown,2026-07-27T08:44:00,6.68,2.2,1.72,15.8,18.8,13.52,23.26,1,0
276,North,2026-06-05T07:52:00,6.37,2.56,1.94,13.6,14.4,13.1,25.42,1,1
277,South,2026-07-26T21:33:00,9.04,0.82,1.0,24.6,23.8,16.71,16.71,1,1
278,West,2026-06-22T17:24:00,5.99,3.09,2.25,14.9,19.1,12.59,28.32,0,0
279,South,2026-06-30T19:38:00,8.22,2.61,1.96,21.8,22.9,15.6,30.58,1,1
